category,product_name,price,sales_point,product_code,variation_text,ec_url,image_url
チェア,Woody Prime Walnut ウォールナット材 北欧風木製アームチェア,69190,★本革座面で高級感と耐久性を両立\n★木製フレームで安定した座り心地\n★ダイニング・書斎の主役チェアに,xx002412053001,ダークブラウン · ウォールナット材 · 幅62.9×奥行50.5×高さ80.8,https://caguuu.com/products/xx002412053,https://img.myshopline.com/image/store/1726464192427/xx002412053001.jpg?w=1000&h=1000
テーブル,Woody Prime Walnut ウォールナット材 天然木ワイドテーブル,155090,★北米産ウォールナット材で深い木目が魅力\n★広々天板で食事も作業もゆったり使える\n★ダイニング兼ワークデスクの一台二役に,xx002412003001,ウォールナット材 · [A]幅160×奥行85×高さ76,https://caguuu.com/products/xx002412003,https://img.myshopline.com/image/store/1726464192427/xx002412003001-sku.jpeg?w=1000&h=1000
収納,北欧風幅80cmゴミ箱上ラック,18390,★壁面設置で床を占有しない省スペース設計\n★スチールフレーム×粉体塗装で耐久性◎\n★玄関・洗面所の一時掛け収納に最適,iinsd0174,ホワイト · 幅80×奥行40×高さ85~89.5,https://caguuu.com/products/iinsd0050,https://img.myshopline.com/image/store/1726464192427/iinsd0174-type.jpg?w=1000&h=1000
収納,Woody Aura天然木ブラックキッチンボード,153090,★幅75×奥行40×高85cmで省スペース\n★ラバーウッド×鉄脚、黒で引き締め\n★キッチン横や作業台に、賃貸にも◎,fy002411008001,ブラック · 幅150×奥行40×高さ86,https://caguuu.com/products/fy002411008,https://img.myshopline.com/image/store/1726464192427/fy002411008001.jpg?w=1000&h=1000
テーブル,Woody Select木製ナチュラルダイニングテーブル,175690,★幅45cmのスリム設計で圧迫感を軽減\n★オープン棚で出し入れしやすい構造\n★ワンルームのサブ収納として活躍,inhs2501021003,ベージュ · 1.8m・幅180×奥行85×高さ75,https://caguuu.com/products/inhs2501021?sku=18068531824355062630144095,https://img.myshopline.com/image/store/1726464192427/inhs2501021003.jpg?w=1000&h=1000
収納,アクリルディスプレイラック,36990,★透明アクリルで圧迫感なく飾れるラック\n★耐久性設計でコレクションをしっかり支える\n★推し活や雑貨ディスプレイを一気に格上げ,zwj02502008003,オレンジ / [A]幅50×奥行25×高さ120,https://caguuu.com/products/zwj02502008?sku=18069314782411869444794095,https://img.myshopline.com/image/store/1726464192427/zwj02502008003-0_1800x.jpg?w=800&h=800&q=80
収納,Woody Select木製9マス多収納キャビネット,179890,★直径40cmのコンパクト天板で置き場自在\n★強化ガラス×スチール脚で抜け感ある印象\n★ソファ横やベッドサイドの補助台に,inhs2501002001,ベージュ · 9段チェスト・幅160×奥行45×高さ80.5,https://caguuu.com/products/inhs2501002,https://img.myshopline.com/image/store/1726464192427/inhs2501002001.jpg?w=1000&h=1000
チェア,Kraft Paper 折りたたみ クラフト紙ラウンドスツール,8390,★折りたたみ式で収納省スペース・軽量設計\n★クラフト紙ハニカムで耐荷重約300kgの強度\n★防水加工で水拭きOK、子育て家庭に◎,sbzyl0007,ブラウン · 通常 · [C]ノーマル・幅36×奥行36×高さ44 · [C]幅36×奥行36×高さ44,https://caguuu.com/products/sbz0007?sku=18068110902863549382434095,https://img.myshopline.com/image/store/1726464192427/sbzyl0062-sku.jpg?w=1000&h=1000
チェア,Kraft Paper 折りたたみ クラフト紙ラウンドスツール,8290,★折りたたみ式で収納省スペース・軽量設計\n★クラフト紙ハニカムで耐荷重約300kgの強度\n★防水加工で水拭きOK、子育て家庭に◎,sbzyl0055,ホワイト · 通常 · [C]ノーマル・幅36×奥行36×高さ44 · [C]幅36×奥行36×高さ44,https://caguuu.com/products/sbz0007?sku=18068110902863549382714095,https://img.myshopline.com/image/store/1726464192427/sbzyl0063-sku.jpg?w=1000&h=1000
チェア,Kraft Paper 折りたたみ クラフト紙ラウンドスツール,8290,★折りたたみ式で収納省スペース・軽量設計\n★クラフト紙ハニカムで耐荷重約300kgの強度\n★防水加工で水拭きOK、子育て家庭に◎,sbzyl0056,レッド · 通常 · [C]ノーマル・幅36×奥行36×高さ44 · [C]幅36×奥行36×高さ44,https://caguuu.com/products/sbz0007?sku=18068110902863549382964095,https://img.myshopline.com/image/store/1726464192427/sbzyl0064-sku.jpg?w=1000&h=1000
チェア,Kraft Paper 折りたたみ クラフト紙ラウンドスツール,9190,★折りたたみ式で収納省スペース・軽量設計\n★クラフト紙ハニカムで耐荷重約300kgの強度\n★防水加工で水拭きOK、子育て家庭に◎,sbzyl0060,レッド · 通常 · [Dノーマル・]幅40×奥行40×高さ52 · [D幅40×奥行40×高さ52,https://caguuu.com/products/sbz0007?sku=18068110902863549383014095,https://img.myshopline.com/image/store/1726464192427/sbzyl0060-sku.jpg?w=1000&h=1000
チェア,Kraft Paper 折りたたみ クラフト紙ラウンドスツール,9190,★折りたたみ式で収納省スペース・軽量設計\n★クラフト紙ハニカムで耐荷重約300kgの強度\n★防水加工で水拭きOK、子育て家庭に◎,sbzyl0061,ブラック · 通常 · [Dノーマル・]幅40×奥行40×高さ52 · [D幅40×奥行40×高さ52,https://caguuu.com/products/sbz0007?sku=18068110902863549383264095,https://img.myshopline.com/image/store/1726464192427/sbzyl0061-sku.jpg?w=1000&h=1000
