category,product_name,price,sales_point,product_code,variation_text,ec_url,image_url
テーブル,チェリー材 天然木マルチフォーム変形テーブル,60290,★傷や汚れに強く、お手入れが簡単な耐久性のある天板\n★木目の美しさを活かした、温かみのある天然木を使用\n★ライフスタイルに合わせて選べる豊富なバリエーション,bm002412022001,ブラウン · [A]幅104×奥行104×高さ75,https://caguuu.com/products/bm002412022,https://img.myshopline.com/image/store/1726464192427/bm002412022001.jpg?w=1000&h=1000
その他,チェリー材 360°回転キャスター付きナチュラルウッドワゴン,34890,★シンプルでどんなお部屋にも馴染む、洗練されたデザイン\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,bm002502059001,チェリー材 · 幅52×奥行35×高さ67,https://caguuu.com/products/bm002502059,https://img.myshopline.com/image/store/1726464192427/bm002502059001.jpg?w=1000&h=1000
ベッド,Grand Form グランドエアリバースマットレス,68790,★快適な睡眠をサポートする通気性と体圧分散に優れた設計\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,brx02505009007,ホワイト · ロング・奥行200 · [G]セミダブル・幅120×高さ22,https://caguuu.com/products/brx02505009,https://img.myshopline.com/image/store/1726464192427/brx02505009007.jpg?w=1000&h=1000
収納,スタンドハンガー＆収納バスケット,30190,★収納力抜群で、お部屋をすっきりと整理整頓できる機能性\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,fbt02502013001,グレー · 幅40×奥行40×高さ175,https://caguuu.com/products/fbt02502013,https://img.myshopline.com/image/store/1726464192427/fbt02502013001.jpg?w=1000&h=1000
収納,Woody Auraチェスト付き可動ハンガーラック,59290,★収納力抜群で、お部屋をすっきりと整理整頓できる機能性\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,fy002411002001,ブラック · [A]ベーシック版・幅64.5×奥行38×高さ169,https://caguuu.com/products/fy002411002,https://img.myshopline.com/image/store/1726464192427/fy002411002001.jpg?w=1000&h=1000
収納,Woody Aura天然木ブラックキッチンボード,153090,★収納力抜群で、お部屋をすっきりと整理整頓できる機能性\n★木目の美しさを活かした、温かみのある天然木を使用\n★ライフスタイルに合わせて選べる豊富なバリエーション,fy002411008001,ブラック · 幅150×奥行40×高さ86,https://caguuu.com/products/fy002411008,https://img.myshopline.com/image/store/1726464192427/fy002411008001.jpg?w=1000&h=1000
テーブル,Woody Aura電動昇降デスク【組立サービス付】,212090,★傷や汚れに強く、お手入れが簡単な耐久性のある天板\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,fy002411010004,ブラック · あり · [A]幅160×奥行75×高さ75-125,https://caguuu.com/products/fy002411010,https://img.myshopline.com/image/store/1726464192427/fy002411010004-sku-18.jpeg?w=1000&h=1000
その他,Woody Aura可動式サイドワゴン,45390,★シンプルでどんなお部屋にも馴染む、洗練されたデザイン\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,fy002411016001,ブラック · 幅70×奥行31×高さ61,https://caguuu.com/products/fy002411016,https://img.myshopline.com/image/store/1726464192427/fy002411016001.jpg?w=800&h=800
収納,Woody Auraスタイリッシュコンパクトラック,40090,★収納力抜群で、お部屋をすっきりと整理整頓できる機能性\n★省スペース設計で、一人暮らしや限られた空間に最適\n★ライフスタイルに合わせて選べる豊富なバリエーション,fy002411022001,ブラック · 幅40×奥行40×高さ190,https://caguuu.com/products/fy002411022,https://img.myshopline.com/image/store/1726464192427/fy002411022001.jpg?w=1000&h=1000
ソファ,Woody Auraマイクロファイバースエード調ソファ【カスタマイズ可】,207890,★長時間座っても疲れにくい、こだわりのクッション素材を使用\n★細部までこだわった丁寧な仕上げで、長くご愛用いただけます\n★ライフスタイルに合わせて選べる豊富なバリエーション,fy002411039003,ホワイト · [D]3人掛け(セパレート)・幅220×奥行110×高さ78,https://caguuu.com/products/fy002411039,https://img.myshopline.com/image/store/1726464192427/fy002411039004.png?w=1000&h=1000
